date,P_mm,ET_mm,R_mm,S_mm,dS,residual,RC
1950-02-01,85.18906,23.992369,22.164497,1007.0205,,,0.26018012
1950-03-01,42.71404,43.512646,26.521133,1015.1003,8.079773,-35.399513,0.6208997
1950-04-01,121.46043,63.802948,37.24777,1017.9177,2.8174438,17.592266,0.30666587
1950-05-01,49.509346,87.06959,59.492386,1001.7329,-16.184814,-80.86781,1.2016395
1950-06-01,39.222668,87.50134,41.99865,933.5032,-68.22974,-22.047592,1.0707749
1950-07-01,23.724318,74.68803,16.378954,858.8303,-74.67285,7.3301926,0.6903867
1950-08-01,50.195644,63.28906,11.663774,825.6766,-33.153748,8.396561,0.23236625
1950-09-01,71.29502,46.75554,10.414638,813.37354,-12.30304,26.427883,0.14607805
1950-10-01,65.61541,37.306076,8.695184,826.5786,13.205078,6.409073,0.1325174
1950-11-01,101.04959,23.39485,12.820275,871.3336,44.755005,20.07946,0.12687112
1950-12-01,126.86746,17.673147,20.088696,931.7403,60.406677,28.698944,0.15834396
1951-01-01,132.51857,17.98375,33.465782,983.38385,51.643555,29.425484,0.25253654
1951-02-01,151.66841,24.758696,64.206215,1032.3745,48.99066,13.712837,0.4233328
1951-03-01,121.60319,43.127876,64.4274,1048.3325,15.958008,-1.9100952,0.5298167
1951-04-01,63.513634,60.04727,52.894634,1028.4116,-19.920898,-29.507374,0.83280754
1951-05-01,102.20859,77.77172,79.03451,1023.7239,-4.687744,-49.909897,0.7732668
1951-06-01,64.97223,85.281525,87.37288,983.296,-40.427856,-67.25432,1.3447727
1951-07-01,61.48448,86.19076,37.746387,925.0982,-58.197815,-4.2548485,0.6139173
1951-08-01,62.04365,70.32738,22.980654,884.63605,-40.46216,9.197779,0.37039492
1951-09-01,92.15651,57.911522,16.80203,868.374,-16.262024,33.70498,0.18232061
1951-10-01,148.76746,42.93327,28.105288,918.8809,50.506897,27.222,0.18892094
1951-11-01,183.04358,28.290205,82.38285,1010.7603,91.879395,-19.508873,0.45007232
1951-12-01,54.588455,15.67933,34.790447,1018.8756,8.115295,-3.9966164,0.6373224
1952-01-01,82.50873,18.037626,30.24645,1030.9924,12.116821,22.107826,0.36658487
1952-02-01,54.954987,24.078848,33.49467,1050.7653,19.772827,-22.39136,0.60949284
1952-03-01,46.221653,42.09235,29.43329,1029.6029,-21.162354,-4.141634,0.63678575
1952-04-01,76.50115,64.6097,32.758617,1014.7574,-14.84552,-6.0216484,0.42821077
1952-05-01,59.867676,86.03011,44.784706,992.40076,-22.356628,-48.590515,0.74806154
1952-06-01,40.55488,86.13821,29.575937,930.7489,-61.651855,-13.507408,0.72928184
1952-07-01,55.659588,80.68745,15.736899,867.5229,-63.226013,22.461254,0.28273475
1952-08-01,52.823715,67.61682,12.712779,842.15045,-25.372437,-2.1334496,0.24066423
1952-09-01,92.92649,49.98818,19.73006,847.7411,5.590637,17.617615,0.21231902
1952-10-01,107.287636,34.797867,27.526197,883.23474,35.493652,9.469917,0.2565645
1952-11-01,91.58525,22.926817,22.804636,915.78394,32.549194,13.304604,0.248999
1952-12-01,129.8671,18.462406,31.863798,969.6113,53.827393,25.713501,0.24535698
1953-01-01,56.510853,15.239228,30.709085,1007.52264,37.911316,-27.348776,0.54341924
1953-02-01,63.046257,22.126352,26.160233,1017.523,10.000366,4.759308,0.4149371
1953-03-01,28.124289,44.86889,25.367002,1009.3466,-8.176392,-33.93521,0.9019607
1953-04-01,104.59223,60.784504,31.887821,1000.7768,-8.569824,20.48973,0.30487752
1953-05-01,78.02639,90.99451,36.534874,990.7596,-10.017212,-39.48578,0.4682374
1953-06-01,130.27849,92.44253,44.230762,993.8163,3.0567017,-9.451504,0.33950934
1953-07-01,60.42982,93.1311,34.799347,954.5999,-39.21637,-28.284256,0.57586384
1953-08-01,76.864555,83.70374,22.090294,908.2696,-46.330322,17.40084,0.28739247
1953-09-01,77.31275,55.484028,18.175497,885.6593,-22.61029,26.263517,0.23509055
1953-10-01,193.08826,41.509533,55.426697,937.72943,52.07013,44.081894,0.2870537
1953-11-01,39.052425,24.022825,38.12284,991.91425,54.184814,-77.27805,0.97619647
1953-12-01,49.88213,15.1916,20.901403,976.2995,-15.614746,29.403872,0.41901585
1954-01-01,80.97509,15.661552,18.356325,993.5443,17.244812,29.712402,0.22669101
1954-02-01,96.49327,18.963736,28.594252,1038.2103,44.666016,4.269264,0.29633415
1954-03-01,108.57907,41.46437,51.708195,1074.7379,36.527588,-21.121082,0.47622618
1954-04-01,95.33915,62.457245,43.442966,1063.5706,-11.167358,0.60629654,0.45566764
1954-05-01,135.42403,83.939064,63.876698,1078.9937,15.423096,-27.81483,0.4716792
1954-06-01,89.952644,96.64887,67.53305,1046.766,-32.22766,-42.001617,0.7507623
1954-07-01,62.842613,91.7684,41.823368,983.73755,-63.028442,-7.7207184,0.6655256
1954-08-01,70.62459,70.3555,29.605398,924.6551,-59.08246,29.74615,0.41919392
1954-09-01,36.373337,51.701046,16.951653,897.5957,-27.059387,-5.2199745,0.46604612
1954-10-01,60.706085,37.35594,13.464324,893.47797,-4.117737,14.003556,0.22179529
1954-11-01,89.04809,22.989237,13.408639,923.81903,30.341064,22.30915,0.1505775
1954-12-01,81.62997,16.531235,19.751133,975.2035,51.38446,-6.0368614,0.24195935
1955-01-01,88.738716,16.921455,19.59564,999.8988,24.695312,27.526306,0.22082402
1955-02-01,118.892944,26.800428,27.860836,1036.3179,36.419067,27.812607,0.23433548
1955-03-01,93.281235,41.027645,46.45569,1069.8043,33.48645,-27.688549,0.49801752
1955-04-01,41.041878,65.2104,39.242992,1046.6293,-23.175049,-40.23647,0.95616955
1955-05-01,58.947857,79.423065,47.05069,1001.40857,-45.220703,-22.305191,0.79817474
