date,P_mm,ET_mm,R_mm,S_mm,dS,residual,RC
2000-01-01,4.300263,4.5448174,0.06672559,97.31384,,,0.01551663
2000-02-01,1.7318834,2.5561213,0.043655068,96.81906,-0.4947815,-0.3731115,0.025206702
2000-03-01,0.6847807,1.6276486,0.037238188,96.16253,-0.6565323,-0.32357377,0.054379728
2000-04-01,1.9639865,3.348711,0.040958904,95.78069,-0.38183594,-1.0438474,0.020854982
2000-05-01,1.8168445,3.9489837,0.054789923,95.16669,-0.61400604,-1.5729232,0.030156638
2000-06-01,0.31383553,2.9718792,0.029661145,93.80489,-1.3617935,-1.3259113,0.09451175
2000-07-01,2.844255,4.0367656,0.52751434,92.6585,-1.1463928,-0.5736321,0.18546662
2000-08-01,3.4860072,4.7870417,0.90199494,92.52453,-0.13397217,-2.0690572,0.2587473
2000-09-01,1.099098,3.3049033,0.22124135,91.45409,-1.0704422,-1.3566046,0.20129357
2000-10-01,2.3746872,3.4685502,0.12363599,90.79623,-0.6578598,-0.5596392,0.052064117
2000-11-01,25.231817,14.158235,0.30721623,98.19062,7.394394,3.371972,0.012175747
2000-12-01,7.889427,10.107261,0.09215065,101.21669,3.0260696,-5.336054,0.0116802715
2001-01-01,5.20817,6.034469,0.06626347,100.13781,-1.0788803,0.18631768,0.012722985
2001-02-01,1.52223,2.7411273,0.039932884,98.51666,-1.6211472,0.3623171,0.026233148
2001-03-01,17.85205,15.866486,0.118230976,99.663666,1.1470032,0.7203311,0.0066228234
2001-04-01,3.7518022,5.4178267,0.042322308,99.49384,-0.1698227,-1.538524,0.011280527
2001-05-01,1.1305194,3.3820856,0.03225453,98.181404,-1.312439,-0.97138166,0.028530717
2001-06-01,0.10978694,2.7702286,0.022536194,96.65014,-1.5312653,-1.1517127,0.20527208
2001-07-01,1.381873,3.504855,0.078273155,95.26113,-1.3890076,-0.8122475,0.056642797
2001-08-01,4.510049,5.321676,0.79844916,94.8622,-0.3989334,-1.2111427,0.1770378
2001-09-01,3.408073,4.429534,0.6751328,94.39814,-0.46405792,-1.2325358,0.19809811
2001-10-01,1.2961547,3.061349,0.14136223,93.42199,-0.9761505,-0.93040586,0.109062776
2001-11-01,0.71870375,1.6243243,0.08219929,92.659874,-0.7621155,-0.22570437,0.11437159
2001-12-01,10.283163,5.4014993,0.1122945,93.9926,1.3327255,3.4366436,0.010920229
2002-01-01,10.33457,12.003209,0.14600344,133.47055,39.47795,-41.292595,0.0141276745
2002-02-01,3.6621106,4.229514,0.042302873,131.58931,-1.8812408,1.2715344,0.0115515
2002-03-01,11.678892,11.658769,0.06926239,132.45383,0.8645172,-0.9136561,0.005930562
2002-04-01,13.299417,11.7752905,0.28492343,133.6957,1.2418671,-0.0026644468,0.021423755
2002-05-01,3.7302065,4.614185,0.056654893,133.29321,-0.40248108,-0.53815216,0.015188139
2002-06-01,0.35288402,3.1459613,0.019119134,131.41791,-1.8753052,-0.9368911,0.054179654
2002-07-01,0.75474554,3.5177817,0.08426944,129.1693,-2.2486115,-0.5986943,0.111652784
